Rank,Book_Title,Author
1925,The deadbeats: a novel,Ward Ruyslinck
1926,Bosnian Chronicle, Ivo Andri_
1927,Summer Will Show,Sylvia Townsend Warner
1928,Tent of Miracles,Jorge Amado
1929,I Thought of Daisy,Edmund Wilson
1930,Her Privates We,Frederic Manning
1931,The Artamonov Business,Maksim Gorky
1932,Fant™mas, Marcel AllainPierre Souvestre
1933,None but the Brave,Arthur Schnitzler
1934,The Blind Side of the Heart,Julia Franck
1935,The Judge and His Hangman,Friedrich DŸrrenmatt
1936,The Back Room,Carmen Mart’n Gaite
1937,Obabakoak, Bernardo Atxaga
1938,Disobedience,Alberto Moravia
1939,Kitchen,Banana Yoshimoto
1940,Ashes and Diamonds,Jerzy Andrzejewski
1941,House in the Uplands,Erskine Caldwell
1942,At the Mountains of Madness,H. P. Lovecraft
1943,Shame,Salman Rushdie
1944,The Charwoman's Daughter,James Stephens
1945,Memoirs of Martinus Scriblerus,Scriblerus Club
1946,Who Do You Think You Are?,Alice Munro
1947,The Year of the Hare, Arto Paasilinna
1948,Lives of Girls and Women,Alice Munro
1949,Shadows on the Rock,Willa Cather
1950,Luka,Antun _oljan
1951,Miramar,Naguib Mahfouz
1952,Smell of Sadness,Alfred Kossmann
1953,The Glass Bees,Ernst JŸnger
1954,Jacob the Liar,Jurek Becker
1955,No Laughing Matter,Angus Wilson
1956,The Harvesters,Cesare Pavese
1957,Borstal Boy, Brendan Behan
1958,On the Heights of Despair,Emil Cioran
1959,Selected Plays of George Bernard Shaw,George Bernard Shaw
1960,The Bell,Iris Murdoch
1961,Garden  Ashes,Danilo Ki_
1962,The 13 Clocks,James Thurber
1963,The Path to the Nest of Spiders,Italo Calvino
1964,Thank You  Jeeves,P. G. Wodehouse
1965,Monica,Saunders Lewis
1966,Claudine,Colette
1967,Mother,Maksim Gorky
1968,Rob Roy,Walter Scott
1969,Democracy,Joan Didion
1970,Camilla,Fanny Burney
1971,The Birds,Tarjei Vesaas
1972,The Diviners, Margaret Laurence
1973,A Pale View of Hills,Kazuo Ishiguro
1974,The Manor,Isaac Bashevis Singer
1975,Julie  or the New Heloise,Jean-Jacques Rousseau
1976,Deep Rivers,JosŽ Mar’a Arguedas
1977,The Tin Flute,Gabrielle Roy
1978,Transit,Anna Seghers
1979,To the North,Elizabeth Bowen
1980,Storm of Steel,Ernst JŸnger
1981,The Protestant Ethic and the Spirit of Capitalism,Max Weber
1982,Il Piacere,Gabriele D'Annunzio
1983,The Green Hat,Michael Arlen
1984,The Travels of Persiles and Sigismunda,Miguel de Cervantes
1985,Cheese, Willem Elsschot
1986,Retreat Without Song,Shahan Shahnour
1987,Pereira Maintains,Antonio Tabucchi
1988,Amok,Stefan Zweig
1989,Life and Death of Harriett Frean,May Sinclair
1990,Compassion,Benito PŽrez Gald—s
1991,Some Experiences of an Irish R. M.,Edith SomervilleViolet Florence Martin
1992,I  Rigoberta Menchœ: An Indian Woman in Guatemala,Rigoberta Menchœ Tum
1993,The Well of Loneliness,Radclyffe Hall
1994,Senilitˆ,Italo Svevo
1995,Hell, Henri Barbusse
1996,An Ember In The Ashes,Sabaa Tahir
1997,Broad and Alien is the World,Ciro Alegr’a
1998,The Song of Hiawatha,Henry Wadsworth Longfellow
1999,Mysteries,Knut Hamsun
2000,Pet,Akwaeke Emezi
2001,Renascence and Other Poems,Edna St. Vincent Millay
2002,Ancestral Voices,Etienne van Heerden
2003,Gabriela  Clove and Cinnamon,Jorge Amado
2004,Waterland,Graham Swift
2005,Ella Enchanted,Gail Carson Levine
2006,A Swiftly Tilting Planet,Madeleine L'Engle
2007,A Light Comedy,Eduardo Mendoza
2008,Tuck Everlasting,Natalie Babbitt
2009,The Virgin Suicides,Jeffrey Eugenides
2010,The Engineer of Human Souls,Josef _kvoreck_
2011,On Love,Alain de Botton
2012,Down There,J. K. Huysmans
2013,ViperÕs Tangle,Franois Mauriac
2014,Walden Two,B. F. Skinner
2015,Akata Witch,Nnedi Okorafor
2016,The Enigma of Arrival,V. S. Naipaul
2017,American Rust,Philipp Meyer
2018,Ball Four,Jim Bouton
